ID;ID anterior;Grupo;Endpoint;Método;Arquivo previsto;VADER;Severidade;Título;Descrição;Ação;Dados;Resultado esperado;Lacuna de contrato;Pendência;Nota;Comando;Veredicto;Observações da execução
AUTH-11;CRIT-49.1, CRIT-49.4;AUTH;/auth/login;POST;test/auth.login.test.js;R;Alta;Credencial e token reais publicados como exemplo no contrato;Frente de proteção de dados da POISED. A senha é gravada em texto puro por decisão do projeto, aparece como exemplo no próprio openapi.yaml e trafega em HTTP no ambiente local.;Abrir o openapi.yaml e conferir os exemplos de LoginInput e LoginResponse.;"exemplo senha ""1234"" no LoginInput | exemplo do LoginResponse terminando em .assinatura";Trocar os dois por valores inequivocamente fictícios. O contrato é documentação pública, não deve carregar a senha real, e o token de exemplo dispara detector de segredo a cada importação.;O contrato publica a credencial real como exemplo e não há servidor https declarado.;Depende de decisão do projeto. Hoje é risco aceito de forma consciente;Letra VADER atribuída na revisão de escopo: o caso vinha classificado apenas por POISED.;"npx mocha --grep ""AUTH-11""";;
AUTH-12;CRIT-49.2;AUTH;/auth/login;POST;test/auth.login.test.js;A;Alta;Senha gravada em texto puro na tabela de usuários;Frente de proteção de dados da POISED. A senha é gravada em texto puro por decisão do projeto, aparece como exemplo no próprio openapi.yaml e trafega em HTTP no ambiente local.;Consultar a tabela de usuários e conferir como a senha está gravada.;registro do usuario pamela na tabela de usuários;Registrar como risco conhecido, com plano de correção por hash bcrypt.;O contrato publica a credencial real como exemplo e não há servidor https declarado.;Depende de decisão do projeto. Hoje é risco aceito de forma consciente;Letra VADER atribuída na revisão de escopo: o caso vinha classificado apenas por POISED.;"npx mocha --grep ""AUTH-12""";;
PEDIDOS-01;AUTH-13, CRIT-35.1, CRIT-35.2, CRIT-35.3, CRIT-35.4, CRIT-35.5, CRIT-35.6, CRIT-35.7;PEDIDOS;/pedidos;POST;test/pedidos.test.js;A;Crítica;Endpoints protegidos recusam requisição sem token;A versão 2.0.0 declara security bearerAuth global, com security vazio apenas em POST /auth/login e GET /health. Este caso verifica se a declaração é efetiva em cada operação, e não só documental.;Repetir as sete operações protegidas sem o header Authorization.;POST e GET /pedidos, GET /pedidos/resumo, GET, PATCH e DELETE /pedidos/{id}, PATCH /pedidos/{id}/status;401 com codigo NAO_AUTENTICADO nas sete operações. Qualquer 200 significa endpoint que escapou do middleware, e é falha de severidade máxima.;;;;"npx mocha --grep ""PEDIDOS-01""";Passou;Execução de 2026-08-14: 8 execuções, todas verdes.
GERAL-01;AUTH-14, CRIT-44.1, CRIT-44.3, CRIT-44.4, CRIT-44.5;GERAL;Todos os endpoints protegidos;OTHER;test/geral.test.js;A;Crítica;Header Authorization malformado;Complementa o CRIT-35. Não basta exigir o header, é preciso validar assinatura e formato, senão qualquer texto vira credencial.;Repetir uma chamada protegida trocando o valor do header Authorization.;Bearer abc | Basic <token válido> | <token sem prefixo> | Bearer vazio;401 com codigo NAO_AUTENTICADO nas quatro. Um 500 no header vazio indica que o parser não trata o caso.;;;;"npx mocha --grep ""GERAL-01""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
GERAL-02;AUTH-15, CRIT-44.2;GERAL;Todos os endpoints protegidos;OTHER;test/geral.test.js;A;Crítica;Token com assinatura adulterada é recusado com 401;Complementa o CRIT-35. Não basta exigir o header, é preciso validar assinatura e formato, senão qualquer texto vira credencial.;Obter um token válido, alterar um caractere da assinatura e repetir a chamada. Enviar Authorization: Bearer <token> válido.;Bearer <token válido com um caractere da assinatura alterado>;401. Um 200 aqui significa que a verificação de assinatura do JWT não acontece, e é o pior resultado possível deste bloco.;;;;"npx mocha --grep ""GERAL-02""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
GERAL-03;AUTH-16, CRIT-45;GERAL;Todos os endpoints protegidos;OTHER;test/geral.test.js;A;Alta;Token expirado após a janela de 1 hora;O contrato promete validade de 1 hora. Verificar se a expiração é efetivamente checada, e não apenas anunciada no expiraEm.;Usar um token com claim exp no passado, assinado com o mesmo JWT_SECRET, em uma chamada protegida.;Bearer <token com exp vencido>;401 com codigo NAO_AUTENTICADO. Um 200 significa que a API confia no token indefinidamente.;O contrato não define se existe renovação de token nem endpoint de refresh.;Requer gerar token vencido com o JWT_SECRET do ambiente, ou aguardar 1 hora;;"npx mocha --grep ""GERAL-03""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-02;CRIA-01, CRIT-01;PEDIDOS;/pedidos;POST;test/pedidos.test.js;V;Alta;Criação válida com múltiplos itens nasce em RECEBIDO;Confirmar o caminho feliz do verbo documentado e as três regras que o contrato afirma serem garantidas pelo servidor: status inicial fixo, valorTotal calculado e carimbos de tempo preenchidos.;Enviar POST /pedidos com o payload de exemplo do contrato e validar corpo e cabeçalhos da resposta. Enviar Authorization: Bearer <token> válido.;cliente Maria Souza, Bowl de quinoa 2 x 28.90, Suco verde 1 x 12.50;201 com id gerado, status RECEBIDO, valorTotal 70.30, itens com id próprio, criadoEm igual a atualizadoEm em ISO 8601.;O contrato não declara o header Location nem Content-Type da resposta 201.;;;"npx mocha --grep ""PEDIDOS-02""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-03;CRIA-02, CRIT-02;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Crítica;valorTotal enviado no corpo precisa ser ignorado pelo servidor;A descrição da operação afirma que qualquer valorTotal enviado é ignorado. Essa é a regra de negócio com maior impacto financeiro de toda a API e precisa de teste dedicado.;Criar o pedido do exemplo acrescentando valorTotal no corpo com um valor irrisório e conferir o valorTotal persistido via GET /pedidos/{id}. Enviar Authorization: Bearer <token> válido.;"payload válido + ""valorTotal"": 0.01";201 com valorTotal 70.30, recalculado. Refletir 0.01 significa permitir que o cliente defina o próprio preço.;O schema PedidoInput não lista valorTotal, mas também não declara additionalProperties false.;;;"npx mocha --grep ""PEDIDOS-03""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-04;CRIA-03, CRIT-03.1;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Criação sem o campo cliente devolve 400 apontando cliente;Verificar se os required de PedidoInput (cliente, itens) e de ItemPedidoInput (nome, quantidade, precoUnitario) são efetivamente validados e reportados campo a campo.;Criar pedido omitindo o cliente. Enviar Authorization: Bearer <token> válido.;payload válido sem a propriedade cliente;"400 com codigo VALIDACAO e detalhes com campo ""cliente"".";;;;"npx mocha --grep ""PEDIDOS-04""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-05;CRIA-04, CRIT-03.2;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Criação sem o array itens devolve 400 apontando itens;Verificar se os required de PedidoInput (cliente, itens) e de ItemPedidoInput (nome, quantidade, precoUnitario) são efetivamente validados e reportados campo a campo.;Criar pedido omitindo o array de itens. Enviar Authorization: Bearer <token> válido.;payload válido sem a propriedade itens;"400 com codigo VALIDACAO e detalhes com campo ""itens"".";;;;"npx mocha --grep ""PEDIDOS-05""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-06;CRIA-05, CRIT-03.3, CRIT-03.4, CRIT-03.5;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Campo obrigatório ausente no item do pedido;Verificar se os required de PedidoInput (cliente, itens) e de ItemPedidoInput (nome, quantidade, precoUnitario) são efetivamente validados e reportados campo a campo.;Enviar três criações, omitindo um campo obrigatório do item por vez.;itens[0] sem nome | sem quantidade | sem precoUnitario;400 com codigo VALIDACAO em cada uma, com detalhes no formato itens[0].campo mostrado no exemplo do contrato.;;;;"npx mocha --grep ""PEDIDOS-06""";Falhou;Falhou, e é falha real da API — DEF-012. Obtido: caminho com ponto ('itens.0.nome', 'itens.0.quantidade', 'itens.0.precoUnitario') em vez de colchete ('itens[0].nome' etc.), como o exemplo do contrato promete. As 3 execuções, uma por campo obrigatório ausente, falharam da mesma forma.
PEDIDOS-07;CRIA-06, CRIT-04.1;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Quantidade 1, o mínimo declarado, é aceita na criação;quantidade é integer com minimum 1. Testar o limite exato, o valor logo abaixo, o negativo e o não inteiro.;Criar pedido com quantidade 1. Enviar Authorization: Bearer <token> válido.;quantidade: 1;201. É o valor exato do minimum declarado e precisa ser aceito.;Não há maximum declarado para quantidade.;;;"npx mocha --grep ""PEDIDOS-07""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-08;CRIA-07, CRIT-04.2, CRIT-04.3, CRIT-04.4;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Quantidade fora do domínio válido;quantidade é integer com minimum 1. Testar o limite exato, o valor logo abaixo, o negativo e o não inteiro.;Criar três pedidos variando apenas a quantidade do item.;quantidade: 0 | -1 | 1.5;400 com codigo VALIDACAO nas três. O schema declara integer com minimum 1, e meia unidade não existe no balcão.;Não há maximum declarado para quantidade.;;;"npx mocha --grep ""PEDIDOS-08""";Passou;Execução de 2026-08-14: 3 execuções, todas verdes.
PEDIDOS-09;CRIA-08, CRIT-04.5;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Quantidade de 999999999 e o efeito no valorTotal calculado;quantidade é integer com minimum 1. Testar o limite exato, o valor logo abaixo, o negativo e o não inteiro.;Criar pedido com quantidade muito alta e conferir o valorTotal calculado. Enviar Authorization: Bearer <token> válido.;quantidade: 999999999;Definir um teto e aplicá-lo. Observar se o valorTotal sofre estouro ou perde precisão.;Não há maximum declarado para quantidade.;;;"npx mocha --grep ""PEDIDOS-09""";Falhou;Falhou, e é falha real da API — DEF-013. quantidade: 999999999 é válida pelo contrato, que não declara maximum para o campo. Obtido: 500 ERRO_INTERNO em vez do 201 esperado.
PEDIDOS-10;CRIA-09, CRIT-05.1;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Preço unitário de um centavo é aceito na criação;precoUnitario é double com exclusiveMinimum 0, ou seja, zero deve ser rejeitado. O contrato não define regra de arredondamento para mais de duas casas decimais.;Criar pedido com preço de um centavo. Enviar Authorization: Bearer <token> válido.;precoUnitario: 0.01;201. Está acima do exclusiveMinimum e deve ser aceito.;Nenhum multipleOf nem número de casas decimais é declarado para valores monetários.;;;"npx mocha --grep ""PEDIDOS-10""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-11;CRIA-10, CRIT-05.2, CRIT-05.3;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Preço unitário fora do domínio válido;precoUnitario é double com exclusiveMinimum 0, ou seja, zero deve ser rejeitado. O contrato não define regra de arredondamento para mais de duas casas decimais.;Criar dois pedidos, um com preço zero e outro com preço negativo.;precoUnitario: 0 | -10;400 nas duas. exclusiveMinimum 0 significa que zero é recusado, e não aceito.;Nenhum multipleOf nem número de casas decimais é declarado para valores monetários.;;;"npx mocha --grep ""PEDIDOS-11""";Passou;Execução de 2026-08-14: 2 execuções, todas verdes.
PEDIDOS-12;CRIA-11, CRIT-05.4, CRIT-05.5;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Arredondamento monetário acima de duas casas decimais;precoUnitario é double com exclusiveMinimum 0, ou seja, zero deve ser rejeitado. O contrato não define regra de arredondamento para mais de duas casas decimais.;Criar pedidos com preços de três casas e conferir o total calculado.;precoUnitario: 28.905 | 0.001;Registrar e documentar a regra real de arredondamento observada no valorTotal. Um pedido de valor zero após arredondamento é venda sem receita.;Nenhum multipleOf nem escala decimal declarada para valores monetários. Nenhum multipleOf nem número de casas decimais é declarado para valores monetários.;;;"npx mocha --grep ""PEDIDOS-12""";Passou;Execução de 2026-08-14: 2 execuções, todas verdes.
PEDIDOS-13;CRIA-12, CRIT-07.1;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Criação com array de itens vazio devolve 400 por minItems;itens declara minItems 1, mas nenhum maxItems. Um pedido com milhares de itens é aceito pelo contrato e pode derrubar a aplicação em uma única chamada.;Criar pedido sem nenhum item na lista. Enviar Authorization: Bearer <token> válido.;itens: [];400 com codigo VALIDACAO. minItems 1 recusa o array vazio.;Ausência de maxItems em itens e de qualquer limite de tamanho de corpo.;;;"npx mocha --grep ""PEDIDOS-13""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-14;CRIA-13, CRIT-07.2, PERF-06;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Ausência de limite superior de itens no pedido;itens declara minItems 1, mas nenhum maxItems. Um pedido com milhares de itens é aceito pelo contrato e pode derrubar a aplicação em uma única chamada.;Criar um pedido com volume alto de itens medindo o tempo, e depois executar a escalada em k6.;itens com 5000 elementos | escalada 10, 100, 1000 e 5000 itens com 5 VUs;Definir e aplicar um teto, devolvendo 400 ou 413 acima dele. Degradação controlada, sem timeout sem resposta, sem 500 e sem queda do processo.;Ausência de maxItems em itens e de limite de tamanho de corpo. Nenhum limite de tamanho de corpo, de itens ou de taxa de requisições.;Pode indisponibilizar o ambiente. Executar isolado e monitorado.;;"npx mocha --grep ""PEDIDOS-14""";;
PEDIDOS-15;CRIA-14, CRIT-09.1, CRIT-09.3, CRIT-09.4;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Crítica;Campos gerados pelo servidor enviados no corpo da criação;Além de valorTotal, o corpo pode tentar definir id, status, criadoEm e o id de cada item. Aceitar qualquer um deles quebra o modelo de estados da cozinha.;Criar pedido tentando definir id, criadoEm e o id do item, e conferir o recurso criado.;"payload válido + ""id"": 99, ""criadoEm"": ""2020-01-01T00:00:00Z"" e itens[0].id: 99";Campos ignorados. O id do pedido, o id de cada item e o carimbo de criação são do servidor, senão o histórico da cozinha vira ficção.;Nenhum schema declara additionalProperties false nem readOnly nos campos de servidor.;;;"npx mocha --grep ""PEDIDOS-15""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-16;CRIA-15, CRIT-09.2;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Crítica;Status enviado na criação é ignorado e o pedido nasce RECEBIDO;Além de valorTotal, o corpo pode tentar definir id, status, criadoEm e o id de cada item. Aceitar qualquer um deles quebra o modelo de estados da cozinha.;Criar pedido tentando definir o status inicial. Enviar Authorization: Bearer <token> válido.;"payload válido + ""status"": ""ENTREGUE""";Campo ignorado e pedido nascendo RECEBIDO. Refletir ENTREGUE pularia todo o preparo.;Nenhum schema declara additionalProperties false nem readOnly nos campos de servidor.;;;"npx mocha --grep ""PEDIDOS-16""";;
PEDIDOS-17;CRIA-16, CRIT-10.1, CRIT-10.2, CRIT-10.3;PEDIDOS;/pedidos;POST;test/pedidos.test.js;E;Alta;Corpo malformado, ausente e nulo na criação;Verificar se um payload corrompido é tratado como erro de cliente e não como exceção interna, já que requestBody é required true.;Enviar três criações com corpo corrompido, ausente e literal null.;"{""cliente"": ""Maria"", ""itens"": [ | requisição sem corpo | null";400 com o schema ErroResponse nas três. Nunca 500 nem stack trace, já que requestBody é declarado required true.;;;;"npx mocha --grep ""PEDIDOS-17""";Passou;Execução de 2026-08-14: 3 execuções, todas verdes.
PEDIDOS-18;CRIA-17, CRIT-11;PEDIDOS;/pedidos;POST;test/pedidos.test.js;E;Alta;Idempotência na criação do pedido;Duplo clique da atendente ou reenvio por falha de rede é o cenário mais provável de erro operacional nesta API. Não existe chave de idempotência no contrato.;Enviar a mesma requisição duas vezes em sequência e listar os pedidos do cliente. Enviar Authorization: Bearer <token> válido.;mesmo payload enviado duas vezes;Documentar o comportamento real. Dois pedidos idênticos criados significa cobrança e preparo em duplicidade na cozinha.;Não há header de idempotência nem status 409 previsto no POST.;;;"npx mocha --grep ""PEDIDOS-18""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-19;CRIA-18, CRIT-12.1, CRIT-12.2, CRIT-12.3;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Precisão do valorTotal em ponto flutuante;O tipo declarado é number format double. Somas de valores monetários em ponto flutuante produzem resíduos como 333.29999999999995.;Criar os três pedidos e comparar cada total com o valor esperado em duas casas.;10 x 33.33 | 3 x 0.10 | 7 x 1.15;valorTotal exatamente 333.30, 0.30 e 8.05. Qualquer casa decimal extra denuncia resíduo binário em valor monetário.;Valores monetários como double, sem definição de escala ou tipo decimal.;;Letra VADER atribuída na revisão de escopo: o caso vinha classificado apenas por POISED.;"npx mocha --grep ""PEDIDOS-19""";Passou;Execução de 2026-08-14: 1 execução, todas verdes.
PEDIDOS-20;CRIA-19, CRIT-14.1;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Nome com acentuação completa volta idêntico no GET seguinte;Frente de sanitização da POISED. cliente e observacao são texto livre exibido na tela da cozinha e no comprovante do cliente.;Criar o pedido, recuperar por GET e comparar o texto devolvido. Enviar Authorization: Bearer <token> válido.;"cliente: ""João Gonçalves d'Ávila""";201 e, no GET seguinte, o nome idêntico byte a byte, em UTF-8.;Não há pattern nem política de sanitização declarada para campos de texto livre.;;;"npx mocha --grep ""PEDIDOS-20""";;
PEDIDOS-21;CRIA-20, CRIT-14.2;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Emoji na observação é preservado ou recusado, nunca truncado;Frente de sanitização da POISED. cliente e observacao são texto livre exibido na tela da cozinha e no comprovante do cliente.;Criar o pedido com emoji e conferir o retorno. Enviar Authorization: Bearer <token> válido.;"observacao: ""Sem cebola 🥗""";Texto preservado ou rejeitado de forma explícita. Nunca truncado no meio do caractere.;Não há pattern nem política de sanitização declarada para campos de texto livre.;;;"npx mocha --grep ""PEDIDOS-21""";;
PEDIDOS-22;CRIA-21, CRIT-14.3, CRIT-14.4, CRIT-14.5;PEDIDOS;/pedidos;POST;test/pedidos.test.js;D;Alta;Conteúdo malicioso em campos de texto livre;Frente de sanitização da POISED. cliente e observacao são texto livre exibido na tela da cozinha e no comprovante do cliente.;Criar os três pedidos e conferir como cada valor volta no GET seguinte.;"cliente: ""<script>alert(1)</script>"" | ""' OR 1=1 --"" | observacao: ""${7*7}""";Armazenado como texto puro nas três e devolvido escapado. A tela da cozinha não pode executar script, um 500 indica concatenação de query, e voltar 49 indica avaliação de template no servidor.;Não há pattern nem política de sanitização declarada para campos de texto livre.;;;"npx mocha --grep ""PEDIDOS-22""";;
PEDIDOS-23;CONS-01, CRIT-15.1;PEDIDOS;/pedidos;GET;test/pedidos.test.js;D;Alta;Filtro status fora do enum devolve 400 STATUS_INVALIDO;O parâmetro status é opcional e restrito ao enum StatusPedido. O contrato documenta 400 STATUS_INVALIDO, mas não trata caixa, valor vazio nem repetição do parâmetro.;Listar pedidos filtrando por um status inexistente. Enviar Authorization: Bearer <token> válido.;?status=FINALIZADO;400 com codigo STATUS_INVALIDO e a mensagem citando o valor recebido.;Sensibilidade a maiúsculas, parâmetro vazio e parâmetro repetido não especificados.;;;"npx mocha --grep ""PEDIDOS-23""";;
PEDIDOS-24;CONS-02, CRIT-15.2;PEDIDOS;/pedidos;GET;test/pedidos.test.js;D;Alta;Filtro status em caixa baixa: aceitar ou recusar não está definido;O parâmetro status é opcional e restrito ao enum StatusPedido. O contrato documenta 400 STATUS_INVALIDO, mas não trata caixa, valor vazio nem repetição do parâmetro.;Listar pedidos com o status em minúsculas. Enviar Authorization: Bearer <token> válido.;?status=recebido;Definir e padronizar: aceitar ou recusar com 400. Registrar o comportamento real.;Sensibilidade a maiúsculas não especificada.;;;"npx mocha --grep ""PEDIDOS-24""";;
PEDIDOS-25;CONS-03, CRIT-15.3;PEDIDOS;/pedidos;GET;test/pedidos.test.js;D;Alta;Filtro status com espaço no fim: não está definido se há trim;O parâmetro status é opcional e restrito ao enum StatusPedido. O contrato documenta 400 STATUS_INVALIDO, mas não trata caixa, valor vazio nem repetição do parâmetro.;Listar pedidos com espaço no fim do valor. Enviar Authorization: Bearer <token> válido.;?status=RECEBIDO%20;Definir se há trim. Um 400 aqui frustraria integração que monta a query com espaço.;Sensibilidade a maiúsculas, parâmetro vazio e parâmetro repetido não especificados.;;;"npx mocha --grep ""PEDIDOS-25""";;
PEDIDOS-26;CONS-04, CRIT-15.4;PEDIDOS;/pedidos;GET;test/pedidos.test.js;D;Alta;Filtro status presente e sem valor: filtro ausente ou valor inválido?;O parâmetro status é opcional e restrito ao enum StatusPedido. O contrato documenta 400 STATUS_INVALIDO, mas não trata caixa, valor vazio nem repetição do parâmetro.;Listar pedidos com o parâmetro presente e sem valor. Enviar Authorization: Bearer <token> válido.;?status=;Definir: tratar como filtro ausente ou como valor inválido. Registrar o comportamento real.;Parâmetro vazio não especificado.;;;"npx mocha --grep ""PEDIDOS-26""";;
